J27_n,J28_n,J29_n,J30_n,J34_n,J35_n,J36_n,J37_n,J20_n,J21_n,J22_n,J23_n,J13_n,J14_n,J15_n,J16_n
0.9944318612796126,1.0371829683979432,0.9066035757592333,1.0091492692562278,1.03697219361483,0.9606646102301007,0.822720987522421,0.980581608687521,0.7251011326400906,0.9392649062494888,0.9226901683617162,0.9886041916794562,1.0467314308844364,1.037279194309008,1.2355309706052613,0.9654484933503451
0.9940943589265628,1.0420836657927732,0.9324835606684629,1.0091451626460453,1.036958172946947,0.9622767794143143,0.8279174879007708,0.9798761241046481,0.6795922764059565,0.9425299206178127,0.9298184730661516,0.9487068704796633,0.9686494772115712,1.002922518265739,1.2259922761530477,0.9510375096306172
0.993689582517179,1.0481595607597063,0.9723376951706173,1.0089479438230595,1.0361759772932524,0.965418706071127,0.8385324463808925,0.979296441026667,0.6244544539807112,0.9483498015807635,0.9497789232260657,0.8966009628636387,0.892924604105031,0.9759635254938535,1.20521063456997,0.9316548296060092
0.9931755352251608,1.055626233823207,1.0507347695819662,1.0085982134402325,1.034715025906736,0.9700809631204063,0.8546544771234929,0.9787714149515393,0.5628582375626465,0.9566937528132476,0.9877131172211107,0.8355339867015409,0.80636267699608,0.9459747464923335,1.1632023707545205,0.9076186393718569
0.9925160036362124,1.0645657515222733,1.1338956888492728,1.0081281800082167,1.0327025020513956,0.9762482118913809,0.8761354891685189,0.9782218379224543,0.49911920035911594,0.9673336406652702,1.0791773410487466,0.7700947681369332,0.7167272760086267,0.9139413453828092,1.0681591071312697,0.8798930420063618
0.9916778023985522,1.0747799067840498,1.1921019108280255,1.0075990759591142,1.0303142329020332,0.9837199103201504,0.9024493094844853,0.9775916405274571,0.437642549653243,0.9797918902299335,1.162650762094102,0.7052634526401267,0.6311165627900809,0.8829079637941744,0.9261733065374158,0.8500286136440223
0.9906532183436929,1.0858114868921354,1.2325924912808588,1.0070602402002726,1.0276883672418573,0.9922445443669815,0.9326622356821752,0.9768727494040675,0.3816307878992681,0.993440849473343,1.2240760752107198,0.6451288477074505,0.5541844071700552,0.8558022439758739,0.8126186930903395,0.8197478428301912
0.9894514946061338,1.0968234044607512,1.2605493716746607,1.006524084533858,1.0248303754357022,1.0028672653868336,0.9654858799577115,0.9761608692507,0.3325055645516602,1.0145533481194846,1.2681694039354834,0.592048287830899,0.4876447617670195,0.8347422698324141,0.7054514874894883,0.7904990588440256
0.9881153962132059,1.1066517189835576,1.279318504495977,1.0059572484799695,1.0215171525205347,1.0203528670447386,0.9992421371731718,0.9756943124860123,0.2903407339916659,1.038376057023952,1.299720013439355,0.546969422779688,0.43121074347586136,0.8208850448855637,0.6056648360425468,0.763311072757712
0.9867347203878191,1.1138039465888894,1.290738674403035,1.0052882880971075,1.0172898147519849,1.0352905569007265,1.0533026618468617,0.9758684547829154,0.25474316714823747,1.057784481313893,1.3223740333599194,0.5102414450885128,0.38394446285067074,0.8147223339582117,0.5134051753041777,0.7390617687291178
