T,R,L
0,1,1
0.02,1,1
0.04,1,1
0.06,1,1
0.08,1,1
0.1,1,1
0.12,1,1
0.14,1,1
0.16,1,1
0.18,1,1
0.2,1,1
0.22,1,1
0.24,1,1
0.26,1,1
0.28,1,1
0.3,1,1
0.32,1,1
0.34,1,1
0.36,1,1
0.38,1,1
0.4,1,1
0.42,1,1
0.44,1,1
0.46,1,1
0.48,1,1
0.5,1,1
0.52,1,1
0.54,1,1
0.56,1,1
0.58,1,1
0.6,1,1
0.62,1,1
0.64,1,1
0.66,1,1
0.68,1,1
0.7,1,1
0.72,1,1
0.74,1,1
0.76,1,1
0.78,1,1
0.8,1,1
0.82,1,1
0.84,1,1
0.86,1,1
0.88,1,1
0.9,1,1
0.92,1,1
0.94,1,1
0.96,1,1
0.98,1,1
1,1,1
1.02,1,1
1.04,1,1
1.06,1,0
1.08,1,0
1.1,1,0
1.12,1,0
1.14,1,0
1.16,1,0
1.18,1,0
1.2,1,0
1.22,1,0
1.24,1,0
1.26,1,0
1.28,1,0
1.3,1,0
1.32,1,0
1.34,1,0
1.36,1,0
1.38,1,0
1.4,1,0
1.42,1,0
1.44,1,0
1.46,1,0
1.48,1,0
1.5,1,0
1.52,1,0
1.54,1,0
1.56,1,0
1.58,1,0
1.6,1,0
1.62,1,0
1.64,1,0
1.66,1,0
1.68,1,0
1.7,1,0
1.72,1,0
1.74,1,0
1.76,1,0
1.78,1,0
1.8,1,0
1.82,1,0
1.84,1,0
1.86,1,0
1.88,1,0
1.9,1,0
1.92,1,0
1.94,1,0
1.96,1,0
1.98,1,0
2,1,0
2.02,1,0
2.04,1,0
2.06,1,0
2.08,1,0
2.1,1,0
2.12,1,0
2.14,1,0
2.16,1,0
2.18,1,0
2.2,1,0
2.22,1,0
2.24,1,0
2.26,1,0
2.28,1,0
2.3,1,0
2.32,1,0
2.34,1,0
2.36,1,0
2.38,1,0
2.4,1,0
2.42,1,0
2.44,1,0
2.46,1,0
2.48,1,0
2.5,1,0
2.52,1,0
2.54,1,0
2.56,1,0
2.58,1,0
2.6,1,0
2.62,1,0
2.64,1,0
2.66,1,0
2.68,1,0
2.7,1,0
2.72,1,0
2.74,1,0
2.76,1,0
2.78,1,0
2.8,1,0
2.82,1,0
2.84,1,0
2.86,1,0
2.88,1,0
2.9,1,0
2.92,1,0
2.94,1,0
2.96,1,0
2.98,1,0
3,1,0
3.02,1,0
3.04,1,0
3.06,1,0
3.08,1,0
3.1,1,0
3.12,1,0
3.14,1,0
3.16,1,0
3.18,1,0
3.2,1,0
3.22,1,0
3.24,1,0
3.26,1,0
3.28,1,0
3.3,1,0
3.32,1,0
3.34,1,0
3.36,1,0
3.38,1,0
3.4,1,0
3.42,1,0
3.44,1,0
3.46,1,0
3.48,1,0
3.5,1,0
3.52,1,0
3.54,1,0
3.56,1,0
3.58,1,0
3.6,1,0
3.62,1,0
3.64,1,0
3.66,1,0
3.68,1,0
3.7,1,0
3.72,1,0
3.74,1,0
3.76,1,0
3.78,1,0
3.8,1,0
3.82,1,0
3.84,1,0
3.86,1,0
3.88,1,0
3.9,1,0
3.92,1,0
3.94,1,0
3.96,1,0
3.98,1,0
4,1,0
4.02,1,0
4.04,1,0
4.06,1,0
4.08,1,0
4.1,1,0
4.12,1,0
4.14,1,0
4.16,1,0
4.18,1,0
4.2,1,0
4.22,1,0
4.24,1,0
4.26,1,0
4.28,1,0
4.3,1,0
4.32,1,0
4.34,1,0
4.36,1,0
4.38,1,0
4.4,1,0
4.42,1,0
4.44,1,0
4.46,1,0
4.48,1,0
4.5,1,0
4.52,1,0
4.54,1,0
4.56,1,0
4.58,1,0
4.6,1,0
4.62,1,0
4.64,1,0
4.66,1,0
4.68,1,0
4.7,1,0
4.72,1,0
4.74,1,0
4.76,1,0
4.78,1,0
4.8,1,0
4.82,1,0
4.84,1,0
4.86,1,0
4.88,1,0
4.9,1,0
4.92,1,0
4.94,1,0
4.96,1,0
4.98,1,0
5,1,0
5.02,1,0
5.04,1,0
5.06,1,0
5.08,1,0
5.1,1,0
5.12,1,0
5.14,1,0
5.16,1,0
5.18,1,0
5.2,1,0
5.22,1,0
5.24,1,0
5.26,1,0
5.28,1,0
5.3,1,0
5.32,1,0
5.34,1,0
5.36,1,0
5.38,1,0
5.4,1,0
5.42,1,0
5.44,1,0
5.46,1,0
5.48,1,0
5.5,1,0
5.52,1,0
5.54,1,0
5.56,1,0
5.58,1,0
5.6,1,0
5.62,1,0
5.64,1,0
5.66,1,0
5.68,1,0
5.7,1,0
5.72,1,0
5.74,1,0
5.76,1,0
5.78,1,0
5.8,1,0
5.82,1,0
5.84,1,0
5.86,1,0
5.88,1,0
5.9,1,0
5.92,1,0
5.94,1,0
5.96,1,0
5.98,1,0
6,1,0
6.02,1,0
6.04,1,0
6.06,1,0
6.08,1,0
6.1,1,0
6.12,1,0
6.14,1,0
6.16,1,0
6.18,1,0
6.2,1,0
6.22,1,0
6.24,1,0
6.26,1,0
6.28,1,0
6.3,1,0
6.32,1,0
6.34,1,0
6.36,1,0
6.38,1,0
6.4,1,0
6.42,1,0
6.44,1,0
6.46,1,0
6.48,1,0
6.5,1,0
6.52,1,0
6.54,1,0
6.56,1,0
6.58,1,0
6.6,1,0
