J27,J28,J29,J30,J34,J35,J36,J37,J20,J21,J22,J23,J13,J14,J15,J16
1.283975845389259,-1.6540031807153068,0.3408692972583519,-0.9072945095759336,1.4770496914077833,0.4907188699550845,-0.6128472488031494,-1.0812880805406406,0.019895218182554374,0.029291547955832904,-0.2086340678368661,0.9323725231215229,0.013375568252629397,-0.02627828573485729,0.1769351847219716,0.8883535098586101
1.2849702188545058,-1.6558871948702008,0.341936741725102,-0.9084623301590695,1.4773186331508592,0.4893864511445069,-0.606935385706886,-1.082112780763116,0.019140229860293317,0.030494982833440338,-0.2048983494281216,0.9326449163352246,0.013401080923181269,-0.026881953000461156,0.1758231232016294,0.8820871878934716
1.2859125642741922,-1.6578140665298537,0.34288230126894553,-0.9094830053376824,1.477691055733538,0.48801224618454864,-0.6013234790715987,-1.0830596209930918,0.01853702437297529,0.0323873763364052,-0.20057451765248388,0.9319985810480755,0.013869525602000998,-0.027558832742721195,0.1748485969684349,0.8757183229932005
1.2867363120615656,-1.659924562860719,0.34374636625071403,-0.9103489317366039,1.4781234902788563,0.4865419872789933,-0.5960072430669916,-1.0841897782829,0.01809253141001508,0.03507369107311304,-0.1954484751628875,0.930144898474711,0.014924935387424863,-0.028383945132427563,0.17408426065739538,0.8691860418806319
1.2878116394888866,-1.6615691402248907,0.34480801718053,-0.9114802038707436,1.4784744902788562,0.48535451065602536,-0.5906151957996162,-1.0851217378157478,0.017829680418542892,0.0385065479558329,-0.1896581639987976,0.9278327177385269,0.01674218595653875,-0.029417134410587516,0.17388164042536963,0.8622714416505197
1.2883901873443095,-1.664302045340984,0.3453953451665398,-0.9118828086684574,1.4791748840787124,0.4833976737533606,-0.5859730579659147,-1.0867222823058609,0.017794651172988674,0.042983978704475796,-0.18213178673877964,0.9216863025293451,0.019474288288421755,-0.030785571643305778,0.17382996320590932,0.8546632339947658
1.2878057674652525,-1.670396523834718,0.34446264310966396,-0.9104377969787771,1.4809566970765982,0.4793043061641874,-0.5830282717520661,-1.0901348175929177,0.018071635819529655,0.04877873725239832,-0.17206875961843368,0.9092365303219689,0.02320065778208805,-0.03260613708275227,0.17319293278423895,0.846626062251938
1.28678984161662,-1.6775626201774128,0.34314976833828603,-0.9084193047228029,1.4830774075693944,0.47447158697180886,-0.5807166182298279,-1.0940476896198321,0.01872797891513859,0.055589156009349126,-0.1600702096704695,0.8921024152435526,0.028050134448532348,-0.034929497442263244,0.17298246480161578,0.8373785023839605
1.2861460372657096,-1.6842255188024282,0.34223513355412233,-0.9068714269953109,1.4848783607684584,0.46996483354090457,-0.5780662320439827,-1.0974232607908838,0.019854500404867616,0.06312126507395066,-0.146930586337811,0.8729382093368929,0.03398795781429529,-0.03778312405988016,0.17380127937734954,0.8268121550590858
1.285545986673643,-1.6910423983682563,0.3409951300369268,-0.9055353559289967,1.4869401745120399,0.4654597395945057,-0.575129456977923,-1.1009458560088026,0.021618305883409406,0.07122417080457985,-0.13375093261169063,0.8555491320647436,0.04062311050584792,-0.041175200694688566,0.17457466881530836,0.8169633919044603
