J27,J28,J29,J30,J34,J35,J36,J37,J20,J21,J22,J23,J13,J14,J15,J16
1.2185444530713458,-1.3756571425665316,-0.06488056663065017,-1.3066826008398174,1.8822502974951463,0.7458070062915398,-0.87879490407505,-2.1594909761219823,-0.05473658537706351,1.4258312263233897,0.1806872846460575,2.7990081894564787,-0.01136612549453641,-0.3919062715940963,-0.1749026372446451,2.388239334893805
1.1816832089211033,-1.3724229164786175,-0.08196701142707014,-1.2489467915001164,1.8713638821003975,0.7566346830877821,-0.8777579624113394,-2.158147260654009,-0.05788695716702064,1.4497243272494293,0.18797516805460995,2.7676290112053588,-0.013608788817550864,-0.38021987545007746,-0.18262804889370154,2.3640605774426104
1.1457091415136504,-1.37004192173947,-0.09831137452302027,-1.192940167660033,1.8607591908359407,0.7670965194298851,-0.8768071816385569,-2.1567834961495436,-0.0595440595367986,1.4730151310639696,0.1943414819845778,2.7367242611216156,-0.01522787467755863,-0.3696982927611156,-0.1902999747279596,2.339789585549658
1.1102654125914388,-1.3687328767566531,-0.11396500407208637,-1.1380768880363037,1.8503799995602672,0.7770439466383376,-0.8759855421057459,-2.1554805882582992,-0.059700119112039415,1.4956021396320158,0.19980513450607737,2.7060086566024766,-0.01614578215798539,-0.36028897909502733,-0.19799609790964307,2.315083444377136
1.0777359558479098,-1.364857599338111,-0.12885341067546396,-1.0892217063466059,1.8401197362078983,0.788162338109855,-0.8737460119341038,-2.1543232814083075,-0.05834594291249866,1.5200812011727498,0.2044649629188735,2.676529615450245,-0.01621249688835852,-0.35149203459240597,-0.2053475770397627,2.2933707758069377
1.0421463752515678,-1.3683980335703472,-0.14297123372574913,-1.034424856117972,1.830426396272014,0.79596634514479,-0.8734018486635223,-2.153208044395971,-0.055358232958039495,1.539708635396218,0.20803091421073416,2.6453797469902693,-0.015263987033930074,-0.3443351438234726,-0.21307665275104276,2.2657226716838763
0.9968407668168742,-1.3904433507319922,-0.1572292614418605,-0.9609633414855216,1.8217983941511358,0.7952203050291305,-0.8800888964605709,-2.1513175491524636,-0.05064134265152245,1.5467323596953897,0.21037341372760202,2.6092503557483067,-0.013145492287977494,-0.3397118554440938,-0.22224043868910404,2.2213754669817676
0.9502623172904521,-1.4200565551019395,-0.1705341783814192,-0.8867019258988875,1.8138445169381008,0.7911937825089417,-0.888208635449793,-2.1495098577997647,-0.04415092762490694,1.5485263972122765,0.21152299562410398,2.5717460659432883,-0.009568483176284968,-0.3363799747792076,-0.2316009660341139,2.1722198115664564
0.9083106075173782,-1.4473888735125688,-0.18259512974649617,-0.8231177835898378,1.806236133711119,0.7886310012296246,-0.8938746159949826,-2.148181188410605,-0.03589690024302247,1.552130092744477,0.21171972986721965,2.5357516349003006,-0.0043374738711844454,-0.3332380383125372,-0.24008905376244066,2.1274900440003033
0.8685778089583654,-1.4716522287126157,-0.1966690133059079,-0.7651520162497641,1.7977181138547802,0.7865019416641386,-0.9022959819942589,-2.1457732156547964,-0.026050939979312338,1.5579491423479717,0.21188214752741685,2.5005854974746478,0.0024827718025665635,-0.3298240141844289,-0.2482665158696798,2.083110571073119
